"bill_city","mon_data_city","mon_sms_city","mon_voice_city","serv_tick_m1to6_city","serv_tick_m7to8_city","data_roam_city","long_d_min_city","long_d_spend_city","tot_pay_city"
"Airdrie",5.25450089982745,583.054682224035,245.168335847904,0.456458312738687,0.463120932560414,2.68961073737592,35.5899531347677,2.55857607325145,66.8385925125921
"Irricana",5.33574439416646,595.244525926303,235.438596819167,0.349530128808692,0.388512593682618,2.35674037458375,37.1040512190666,2.72175995350069,65.0184688298182
"Crossfield",3.36099204038263,508.748498419421,246.207790245197,0.631228864239529,0.639522204216811,1.29707758058794,39.2526720289607,2.03035601186785,62.9202570420032
"Carstairs",4.18295151137929,263.044213630427,207.842424544493,0.907169879460707,0.910393336373381,2.0757975266315,39.6511535253376,1.42082394868284,60.974184196914
"Didsbury",4.7356384119815,699.69539211476,187.051795059396,0.629774474818259,0.634146721288562,2.17803573131096,35.4053250188008,2.41283369561481,64.032298018147
"Olds",5.60993809276266,112.058728511633,237.113912544713,0.672461929079145,0.672941122017801,2.92505968629848,36.6308197798207,1.35721299059666,62.7448954016028
"Sundre",3.49546154538068,746.475458249505,165.758748623423,1.19409714015201,1.2090405688424,1.13883444620296,37.8979614551645,1.72563953206916,61.0374751821689
"Provost",5.76133923443524,668.24865414244,258.974419300702,1.11478850878775,1.13170298734596,2.72692080319393,37.9714113147929,2.09503800511766,64.7112503716215
"Coronation",3.84845946669017,386.896390199665,207.08107993111,1.00384308169596,1.00553101400845,1.63876737747341,36.3684411928989,2.65438128783137,63.2758234472789
"Castor",5.05727961622957,824.143677811979,184.114854370809,1.19699667096138,1.20384786067531,2.10237523878459,39.2111656325869,1.66381558072192,62.356451896881
"Stettler",5.40482460236829,505.357571837643,219.190401806364,0.770359901990741,0.789167741089219,2.58170561899897,35.6226870755199,2.52592161470932,63.5305851397911
"Daysland",6.08273500540101,323.539311116574,223.505866530384,0.54620394045487,0.54783761544745,2.51893626397941,35.5853876052424,1.89198053483325,63.8031316767707
"Killam",3.43543624646827,633.677507032946,198.83060558968,0.565344795864075,0.568073239506653,1.2901800875552,38.3936684881337,1.35971256567697,61.8629057293837
"Sedgewick",5.13379987477251,492.126856486436,206.386927055873,0.681981131481007,0.683102492214171,2.03993994568009,36.9172094843816,1.69482260823995,61.9999841420578
"Hardisty",4.18065394394451,67.1417197715044,219.70646100027,0.47168985735625,0.476343470891006,1.84703290881589,38.8348925695755,1.82317516861087,61.8637047161878
"Wainwright",4.90649420609737,391.564009522235,286.732305078206,0.791494459658861,0.808803141172135,2.98696307418868,37.1932436712086,1.26176080382454,64.3220975447701
"Bowden",5.92026559292842,122.72626845817,171.570999477491,0.493002046644688,0.502255765813914,2.82744313939475,38.296617338201,2.65363572441466,64.4604542350341
"Innisfail",5.06701344865132,327.760927422272,177.171446807083,1.02445697695948,1.03615978265139,2.30907010030933,39.2488263093401,2.50669951669991,64.0157380320308
"Penhold",5.67518918752993,359.309430053369,261.953002849322,0.602539790840819,0.615117531437007,2.7507491002325,35.359937598696,2.36705731498143,62.7100113140302
"Red Deer",6.23273251061533,811.503317961071,243.620730014014,0.40885588764213,0.411940925265662,3.23071134253405,39.9829227139708,2.0891883124405,65.7180962065238
"Sylvan Lake",5.64652681677277,155.383837206485,251.750213613325,0.496164959901944,0.503581196125177,2.8547696955502,37.462286077207,1.12070762448378,61.6939710763767
"Eckville",5.58657636346148,470.58353774303,226.523451564065,0.574461398925632,0.589660401343459,2.98826485907193,36.9657932838891,1.84141584756649,65.3748128171663
"Bentley",4.78201631114465,489.638734201792,227.733058018169,0.799570155143738,0.816263754534626,2.52370005846024,39.7740743414033,2.26056756138493,61.8841800262426
"Blackfalds",5.66780703351216,362.079492476389,255.205853215589,0.95786119280383,0.963726742239669,2.83759240107611,37.895005872706,1.77545154691069,63.9165873885679
"Lacombe",4.35936438483689,301.151473283816,222.94284796735,0.979753310140222,0.981410504807718,2.60189697553869,37.5187312799972,2.20456886021257,65.639011961091
"Ponoka",5.50632211186014,598.381528748767,241.329067828068,0.629202102823183,0.640432164500979,2.39271440077573,39.9971272610128,2.54158162844356,64.0394516952887
"Rimbey",4.36595413298663,545.047392774285,186.517299825853,0.769551052525639,0.774359878925607,1.17209717584774,38.4516482881736,2.42629786441547,62.532349287081
"Rocky Mountain House",4.92759754547298,498.651249250382,212.499374460511,0.3563256890513,0.363615683955304,2.80404395994265,38.0955808935687,1.3913551593069,64.7412193464297
"Bashaw",2.82822550279541,502.95124029661,173.970801653864,0.47905631554313,0.50155412482903,1.92781636724249,37.831179095665,2.43385846426982,61.0165232499492
"Camrose",5.47505690702078,778.669706674262,194.232330869137,0.952403353573754,0.952641851771623,2.52382801880594,37.6120070158504,2.21559772319931,62.5380335336769
"Tofield",3.80891510029013,647.402315201095,215.460887237655,0.243501110747457,0.248689729681585,1.37057830486447,37.031789306784,1.92199306029555,63.9024668612058
"Viking",4.1698285167155,380.618882726685,203.379019412876,0.955054536275566,0.961405796804465,2.08948617090937,38.7515432224609,2.4344727586058,64.3919624572648
"Vegreville",4.83323341281347,420.406810262894,183.506390560501,0.604876509448513,0.612345226406631,2.38614576612599,38.3589581039269,1.79594073677046,63.1603236049804
"Lloydminster (Part)",5.30340557803701,395.15784934077,248.588858550158,1.12786151892506,1.13246513549704,3.13666601513978,38.6580167303327,1.22197479228076,62.7847851422603
"Vermilion",3.98206063676667,696.480255906957,216.029773635455,1.05343823162839,1.0814243941551,2.11612195370253,35.524579474004,1.82757610282037,64.4821656094561
"Two Hills",4.28708314480115,368.501308368822,180.672301848164,0.639849691232666,0.646491999160498,2.04599365056492,39.7458493243903,2.32238302412462,62.5664824485119
"Mundare",4.78935840137086,231.672959770441,198.929382497492,0.29184120525606,0.300194361870688,1.79111163155176,37.5675564096309,1.46238240959019,63.7402207067595
"Lamont",4.67556822542222,567.14511792212,214.752161838483,0.34250339474529,0.360544943138117,1.79794783587568,36.3277506455779,1.47331793913565,63.7340484223911
"Bruderheim",4.64565095344435,644.223449530361,240.782503644268,0.250328212790191,0.275588494258604,1.93427392072044,37.523278609151,1.20918822037482,63.0706021391179
"Wetaskiwin",5.99007997778427,586.744641806866,206.251706281041,0.982028402434662,0.985394711055991,2.76115501206368,36.4515048032627,1.83374250002254,64.2107806576757
"Millet",5.13885958678801,659.107466159498,231.126219814608,1.04002560772933,1.04319267313927,2.6456750909565,39.3796619807836,2.13712211005884,61.4032562437066
"Beaumont",5.14610610229932,482.867792616029,237.655172400677,0.881718560634181,0.89759862174196,3.24264384049457,36.7612258065492,1.29318056351334,62.752247078899
"Leduc",5.53854621900738,102.535883876005,228.560409972351,1.0578606818337,1.06162458183053,2.70891950000077,39.4316772476304,1.21765714710347,62.1255914510392
"Devon",5.46358972089376,521.906547286378,245.469633915127,0.416920904116705,0.421290119537152,2.84677279018797,35.2298807026818,1.97978628358998,63.7580889961736
"Calmar",5.33919974284307,670.816217922941,223.256005150069,0.826315209781751,0.862436906990779,2.63412902166601,36.323497670237,1.30474559697527,65.0828122447824
"Drayton Valley",3.91813339795445,593.016770962724,216.731964596903,0.754309409577399,0.774741084984595,1.6893828867469,39.1872100834735,2.71698234040834,62.5620835400038
"Stony Plain",5.92115055184673,313.421124466005,250.578377896035,0.543154121655971,0.547574198397754,2.53837600932457,39.5743926952127,2.97013828657733,64.1462532997419
"Spruce Grove",6.23547600635839,608.415168208376,229.930484571189,0.855334211187437,0.858059210018255,3.05408559192438,35.075062821852,1.57882988534538,66.8262608587458
"Fort Saskatchewan",6.05711252715571,714.514597746784,264.551697460598,1.04980728826486,1.05286844765302,2.55337640247308,38.8403422560077,1.84314008625664,64.9213998813417
"Edmonton",5.13945223562964,1006.10440624724,204.05874708053,0.536484233150259,0.540151839805578,3.30640386184677,37.7320557460189,1.33963473980568,61.0506363710323
"St. Albert",6.15068739108339,747.102328929374,243.628088025234,1.09404894202016,1.10901807415215,3.2163859467255,38.1818244850729,2.82225574981227,66.4487743497889
"Gibbons",4.68541875371419,473.411484990258,222.604183724061,1.16896515740082,1.17811229884582,2.16259905486368,39.8167046904564,2.77264522000294,64.2440365023919
"Redwater",3.10159439056424,636.993166238356,212.292525069843,0.897786235483363,0.916415335618982,1.5090391386766,38.4336077899206,2.22390505448992,63.0617858021208
"Bon Accord",5.16982742327246,716.603168935405,229.747895139883,0.909437418030575,0.91766807728405,2.80331530387048,35.1901826600078,0.759385096990514,62.7615869746977
"Morinville",5.63674705688787,646.306828440986,262.419135975116,0.513336697407067,0.519480084488168,3.34827834321186,38.1314474355895,1.3050753145081,64.1809968810408
"Legal",5.02959871022284,581.230232716422,236.9124266671,0.568402724387124,0.576464634410139,2.71176596765872,35.7773134345189,1.9380229190728,65.9000147452504
"Cold Lake",3.29351581304196,651.391794595462,232.850044195335,0.372174075385556,0.378674936993048,1.57959288801067,36.1010335653555,1.46511469284109,61.7850381698695
"Bonnyville",4.68313882908311,127.83405257119,264.72966393659,0.818742370977998,0.823713139076717,2.4044793973444,35.1376988948323,2.51657245244959,65.2055919938561
"Elk Point",5.03095314489842,398.821337853805,235.070190270151,0.784010117454454,0.7983196198375,2.31092802714556,35.0649011041969,2.70065867801766,64.9446437924681
"St. Paul",5.06470688371747,831.635065209593,238.411878559415,0.383547443011776,0.413601358838562,2.9548401106149,39.6419230371248,1.37161989269971,62.1222375918586
